registered,occurred,broker,modbus,mac_id,mc_no,process
2026-06-16 14:11:32.496,2026-06-16 13:28:18.802,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:32.520,2026-06-16 13:28:18.802,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:32.551,2026-06-16 13:28:18.802,1.0,1.0,,mc6,demo1
2026-06-16 14:11:32.572,2026-06-16 13:28:18.802,1.0,1.0,,mc5,demo1
2026-06-16 14:11:32.475,2026-06-16 13:28:18.802,1.0,1.0,,mc1,demo1
2026-06-16 14:11:32.773,2026-06-16 13:23:18.599,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:32.787,2026-06-16 13:23:18.599,1.0,1.0,,mc1,demo1
2026-06-16 14:11:32.737,2026-06-16 13:23:18.599,1.0,1.0,,mc2,demo1
2026-06-16 14:11:32.711,2026-06-16 13:23:18.599,1.0,1.0,,mc5,demo1
2026-06-16 14:11:32.679,2026-06-16 13:23:18.599,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:32.654,2026-06-16 13:23:18.599,1.0,1.0,,mc6,demo1
2026-06-16 14:11:32.810,2026-06-16 13:18:18.328,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:32.946,2026-06-16 13:18:18.328,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:32.929,2026-06-16 13:18:18.328,1.0,1.0,,mc1,demo1
2026-06-16 14:11:32.913,2026-06-16 13:18:18.328,1.0,1.0,,mc2,demo1
2026-06-16 14:11:32.897,2026-06-16 13:18:18.328,1.0,1.0,,mc5,demo1
2026-06-16 14:11:32.847,2026-06-16 13:18:18.328,1.0,1.0,,mc6,demo1
2026-06-16 14:11:32.977,2026-06-16 13:13:19.184,1.0,1.0,,mc6,demo1
2026-06-16 14:11:33.129,2026-06-16 13:13:19.184,0.0,0.0,0,mc3,demo1
2026-06-16 14:11:33.104,2026-06-16 13:13:19.184,1.0,1.0,,mc5,demo1
2026-06-16 14:11:33.078,2026-06-16 13:13:19.184,1.0,1.0,,mc2,demo1
2026-06-16 14:11:33.044,2026-06-16 13:13:19.184,0.0,0.0,0,mc4,demo1
2026-06-16 14:11:33.019,2026-06-16 13:13:19.184,1.0,1.0,,mc1,demo1
2026-06-16 14:11:33.155,2026-06-16 13:08:18.236,1.0,1.0,,mc6,demo1
2026-06-16 14:11:33.312,2026-06-16 13:08:18.236,1.0,1.0,,mc5,demo1
2026-06-16 14:11:33.296,2026-06-16 13:08:18.236,1.0,1.0,,mc2,demo1
2026-06-16 14:11:33.272,2026-06-16 13:08:18.236,1.0,1.0,,mc1,demo1
2026-06-16 14:11:33.243,2026-06-16 13:08:18.236,0.0,0.0,0,mc3,demo1
